wavelengths	intensities
208.46609	215.09
208.48007	123.554
208.49403	64.0267
208.508	261.405
208.52197	251.715
208.53593	261.75
208.5499	317.121
208.56387	177.853
208.57784	107.687
208.59181	96.3607
208.60577	31.3195
208.61975	-53.0099
208.63373	-152.107
208.64769	78.7311
208.66167	7.3161
208.67564	37.5377
208.68961	-77.2707
208.70358	-72.3277
208.71756	-34.1138
208.73154	-64.827
208.74551	-69.713
208.75949	15.1059
208.77347	130.06
208.78745	160.936
208.80142	137.03
208.8154	97.8916
208.82938	84.6077
208.84335	233.724
208.85733	228.097
208.87131	165.441
208.88528	61.227
208.89928	-123.94
208.91325	-35.5287
208.92723	179.886
208.94121	157.909
208.9552	-35.7698
208.96918	1.17682
208.98317	108.37
208.99715	-90.0187
209.01114	17.0838
209.02512	207.326
209.03911	218.62
209.05309	205.58
209.06708	132.085
209.08107	56.5345
209.09505	32.5077
209.10904	246.116
209.12303	230.478
209.13702	171.07
209.151	146.655
209.16499	120.365
209.17899	156.029
209.19298	224.417
209.20697	232.685
209.22096	118.878
209.23495	38.6475
209.24895	14.7805
209.26294	-44.0416
209.27693	-82.3067
209.29092	61.5107
209.30493	-69.2492
209.31892	11.761
209.33292	230.841
209.34691	241.593
209.36092	258.456
209.37491	260.217
209.3889	-7.81184
209.40291	-55.5281
209.4169	139.73
209.43091	17.0027
209.4449	-167.071
209.45891	-99.1749
209.4729	-132.217
209.48691	69.5061
209.5009	-33.5703
209.51491	-76.9641
209.52892	58.1485
209.54292	155.566
209.55692	154.296
209.57092	163.338
209.58493	85.8266
209.59894	74.6631
209.61295	109.22
209.62695	70.239
209.64096	198.602
209.65497	218.287
209.66898	76.1889
209.68298	130.603
209.69699	193.941
209.711	27.5893
209.72501	62.5391
209.73901	198.312
209.75302	272.983
209.76704	213.04
209.78105	365.2
209.79506	303.474
209.80908	229.187
209.82309	210.338
209.8371	176.123
209.85112	7.14578
209.86513	58.8605
209.87915	13.167
209.89316	21.1022
209.90718	-89.2319
209.9212	-133.509
209.93521	-48.9036
209.94923	43.8903
209.96326	50.0457
209.97726	-40.2206
209.99129	-110.972
210.00531	-92.4251
210.01933	-46.2889
210.03336	28.247
210.04738	124.037
210.0614	-5.21556
210.07542	19.5593
210.08945	178.705
210.10347	156.782
210.11749	176.376
210.13152	74.1837
210.14554	242.602
210.15956	244.452
210.17358	265.984
210.18762	135.887
210.20164	196.927
210.21567	205.438
210.22971	261.167
210.24373	181.371
210.25775	276.276
210.27179	240.174
210.28581	222.087
210.29985	304.406
210.31387	196.269
210.32791	106.872
210.34195	174.794
210.35597	526.046
210.37001	637.006
210.38405	475.77
210.39807	263.161
210.41211	267.728
210.42615	321.749
210.44019	185.109
210.45422	122.645
210.46826	-30.1805
210.48228	-112.409
210.49632	-30.2916
210.51036	35.674
210.5244	71.2235
210.53845	-104.569
210.55249	65.0008
210.56653	-132.73
210.58057	14.7842
210.5946	157.406
210.60864	-87.4214
210.6227	6.08764
210.63673	-35.7326
210.65077	99.1878
210.66483	-0.342264
210.67886	60.1269
210.69292	246.867
210.70695	202.783
210.72099	164.894
210.73505	281.02
210.7491	265.723
210.76314	303.899
210.77719	133.351
210.79124	-121.906
210.80528	-100.653
210.81934	-82.294
210.83339	183.631
210.84744	112.181
210.86148	45.3111
210.87553	-59.5919
210.88959	113.477
210.90364	213.019
210.91769	176.391
210.93175	47.0103
210.9458	-27.0961
210.95985	25.1869
210.97391	-38.7321
210.98796	16.8356
211.00203	78.5474
211.01608	174.486
211.03014	173.684
211.04419	259.217
211.05826	362.101
211.07231	377.796
211.08636	305.391
211.10043	287.782
211.11449	338.701
211.12856	289.114
211.14261	396.632
211.15668	552.157
211.17073	624.19
211.1848	862.269
211.19885	941.302
211.21292	980.391
211.22699	830.86
211.24106	551.387
211.25511	365.993
211.26918	435.219
211.28325	513.371
211.29732	523.024
211.31139	514.983
211.32545	413.165
211.33952	240.278
211.35359	229.287
211.36766	445.049
211.38173	564.051
211.3958	511.79
211.40987	460.547
211.42393	447.798
211.43802	514.672
211.45209	155.19
211.46616	223.267
211.48022	222.583
211.49431	309.217
211.50838	295.04
211.52245	235.243
211.53653	241.386
211.5506	363.683
211.56468	410.418
211.57875	391.543
211.59283	248.605
211.60692	211.493
211.62099	265.373
211.63507	250.893
211.64915	215.663
211.66322	254.839
211.67731	372.71
211.69139	375.305
211.70547	580.655
211.71956	443.897
211.73364	398.865
211.74773	417.657
211.76181	168.164
211.77589	255.155
211.78998	274.307
211.80406	266.306
211.81815	302.968
211.83223	254.131
211.84631	217.16
211.86041	-37.7869
211.8745	11.7372
211.88858	237.867
211.90266	197.55
211.91676	156.36
211.93085	331.38
211.94495	144.125
211.95903	141.123
211.97313	272.606
211.98721	363.875
212.00131	300.893
212.0154	406.607
212.0295	252.489
212.04358	522.074
212.05768	643.394
212.07178	436.434
212.08588	220.619
212.09996	248.681
