Wavelength (nm)	Intensity (normalized)
201.28171	0.0003386549307764443
201.29543	5.9183370131853104e-05
201.30916	0.00013718641310369616
201.32288	0.00016202608956498475
201.33661	-0.00012381638934905805
201.35033	0.000137089124483492
201.36406	4.9075487861893394e-05
201.37778	-5.87290863247332e-05
201.39151	-0.00017060910783632812
201.40524	-0.00013346931219647976
201.41898	-0.00019430429177938184
201.43269	-5.7313807146930136e-05
201.44643	0.0002770644780330403
201.46016	0.0003380955212102704
201.47389	0.00018558479919358545
201.48763	-5.312066761613154e-05
201.50136	-0.0001522229098485811
201.51508	-8.753840873651809e-05
201.52881	-0.0002543908246021301
201.54254	0.0003614218191350501
201.55627	0.00019012088111060364
201.57001	0.00036478773514794625
201.58376	0.00021134061016179638
201.59749	0.00022102353033378106
201.61122	0.00018339850770066453
201.62495	-2.4740901487164655e-05
201.63869	-0.00019158831779868285
201.65242	-8.959876551550807e-05
201.66617	8.214240351536214e-05
201.6799	-9.824029208205755e-05
201.69363	-0.0002118324581861618
201.70737	-0.00018989657679179965
201.72112	-5.572773239143536e-05
201.73485	2.409177019346923e-06
201.7486	-2.2807425283690917e-05
201.76233	-8.774028262344169e-06
201.77608	7.525450432799237e-05
201.78981	-0.00017362235260098423
201.80356	-0.00015961008882991518
201.81729	-0.00022675950523331703
201.83104	-5.9438887882972605e-05
201.84477	5.599622195858207e-05
201.85852	6.47167955290474e-05
201.87227	0.00017033480797658588
201.886	0.00016863631081552187
201.89975	0.0002631184245729435
201.9135	0.00013967132661141035
201.92725	0.000219885793969727
201.94099	4.242837800952888e-05
201.95473	9.173600732907605e-06
201.96848	0.0002562609280793875
201.98222	0.0003033742936440804
201.99597	0.00026159423618974526
202.00972	0.0002351601073417776
202.02347	-2.093002515991817e-05
202.03722	-2.9791532106595896e-05
202.05096	0.0002862920334132361
202.06471	0.0002803695886583088
202.07846	2.844678717844084e-05
202.09222	-1.5583610110449608e-05
202.10597	3.744801139357841e-05
202.11972	-0.00014938262263095454
202.13347	2.7628887153307946e-05
202.14722	0.00011547024184329507
202.16098	0.00024255404247729257
202.17473	0.0002864420200360508
202.18848	0.0002781333016244497
202.20224	0.00038322798236914
202.21599	0.00013370672345439463
202.22975	-0.00015629146589628493
202.2435	-0.00033644431712847233
202.25726	-0.00013793769744860593
202.27101	-0.00020265624957774037
202.28477	-0.00013878897287539219
202.29852	-1.4337099664084015e-05
202.31229	-0.00013362456861955557
202.32603	-0.00022160861328584207
202.3398	-4.4961395335010664e-05
202.35356	-0.00011189015574286618
202.36732	-0.00011715833452692056
202.38107	-1.2726702753538198e-05
202.39484	2.6427102447619536e-06
202.4086	-0.00012368261749627735
202.42236	-0.00015227425662035549
202.43613	-2.032372788372929e-05
202.44989	2.0164417768145004e-05
202.46364	-9.654882132134161e-05
202.4774	8.804093148448921e-05
202.49117	-6.128872289768751e-05
202.50493	0.0001684714606535093
202.51869	0.0003156853577924131
202.53247	0.00044225920390884057
202.54623	0.00012012536719697972
202.56	0.0001122556636840498
202.57376	0.00015004202327900483
202.58752	0.00019824448089764967
202.60129	0.0001410401234484492
202.61507	0.0002725054251918072
202.62883	0.00021026773287787846
202.64259	0.00017587890809738592
202.65637	0.00012194385365629552
202.67014	-0.0002584877564973935
202.6839	-0.0002191845051657555
202.69768	-0.0002550880597135931
202.71144	-0.0002425351252455862
202.72522	-7.565473890166553e-05
202.73898	-0.00012937359640896893
202.75276	0.0001511135493320866
202.76653	0.0001738912475373818
202.7803	-4.346585304553918e-05
202.79408	-1.0292352303713454e-05
202.80785	0.00013305948388386984
202.82162	0.00013053808714357909
202.8354	-5.3693184121416195e-05
202.84917	-0.00018255263719722296
202.86295	0.00013035202265743867
202.87672	-7.391948826185772e-05
202.8905	-2.0816927138930853e-05
202.90428	-6.489799558417762e-05
202.91806	0.0002781684336261901
202.93184	0.00025550018511862456
202.94562	0.0001370931781760005
202.9594	6.140317214951099e-05
202.97318	-3.960308945418382e-05
202.98695	-5.506319706620761e-05
203.00073	9.873470744501166e-05
203.01451	-0.00012648817808141437
203.02829	0.00011940556653055267
203.04207	0.0007796142506208906
203.05585	0.0004908818943175339
203.06964	0.000403655890150338
203.08342	0.0004028816348812133
203.0972	2.6973945567016993e-05
203.11098	-4.301210973075374e-06
203.12477	7.68930068399305e-05
203.13855	0.00014957179494801815
