PC1 PC2
-0.7518182852705115 -1.105132134106189
-0.7498818877367021 -1.106974680191045
-0.7492611777704448 -1.1075016064222365
-0.7483867348784798 -1.108282333293024
-0.7479315312383928 -1.1086436854841577
-0.7481011417720542 -1.1083802912154308
-0.7444983771757542 -1.111889204362777
-0.7446248278375794 -1.1116690376797744
-0.7486470985134629 -1.1075529832688253
-0.7447458803357373 -1.1113603499975973
-0.7459991536444895 -1.1100132929537798
-0.7441242938922442 -1.111794368970959
-0.7442834448966151 -1.1115413665176344
-0.7459520170599815 -1.109779010619203
-0.7494675064452823 -1.1061696697849484
-0.7523166540129674 -1.1032267384821977
-0.7518352962655143 -1.1036142447806971
-0.756253922343557 -1.0991018349675892
-0.7525080875858441 -1.1027538182763479
-0.7480582202033941 -1.1071099019237325
-0.7550637657749876 -1.1000105049031854
-0.7495766010169544 -1.105403750498377
-0.7521508877388015 -1.1027356123275762
-0.7441067062862542 -1.1106860100450577
-0.7389295077323069 -1.115769289436163
-0.7461399058719997 -1.1084650398475169
-0.7451574825122533 -1.1093536794721979
-0.7439236184413924 -1.110493624380217
-0.7410157559461181 -1.1133076354265374
-0.7431963744107153 -1.1110330977990985
-0.7416969113843072 -1.1124387770904411
-0.743331301780699 -1.1107104675312076
-0.7432971050073228 -1.1106508128556303
-0.7413725439146328 -1.1124814547854784
-0.7405231595602131 -1.1132370554048323
-0.7382615713488436 -1.11540472445336
-0.7478142947024842 -1.1057580819368775
-0.7496696335572475 -1.1038088916331605
-0.7509340344212505 -1.1024505716063158
-0.7471989569866517 -1.106091729878073
-0.745362976397792 -1.1078337913040908
-0.7419829490930822 -1.1111198994459588
-0.7448414838270758 -1.1081675809768998
-0.7484720568794697 -1.104443088761664
-0.7549751405333585 -1.0978460859449335
-0.7488460165960741 -1.103881290719376
-0.747168457492516 -1.1054649306600923
-0.7444052273520517 -1.1081342416377151
-0.7413287948138259 -1.1111167550130991
-0.7353212370009194 -1.1170303936631634
-0.7351661238537404 -1.1170914522197248
-0.7400163062133723 -1.112147350697251
-0.7377252395149737 -1.114344498232808
-0.7362928896722477 -1.115682928912692
-0.742790399333534 -1.109091500088564
-0.7368607908476178 -1.1149270539838618
-0.7419697033525574 -1.1097242223160804
-0.7385829518662955 -1.1130170546395004
-0.7400774523915088 -1.1114285672375572
-0.7382871863742978 -1.1131249140919268
-0.7424054549159038 -1.1089127263874787
-0.7454645112838445 -1.1057596154289198
-0.7511577922966137 -1.099972415253309
-0.7518002740400129 -1.0992359466331798
-0.7439644234466507 -1.1069778780637
-0.7412884674311058 -1.1095597794886274
-0.745829556910078 -1.1049246354190365
-0.7460258340081882 -1.1046344391580845
-0.7416211503000364 -1.1089451359895068
-0.737953592168799 -1.1125186395301259
-0.7441414486282382 -1.1062368639078453
-0.7478390439844993 -1.1024452816748538
-0.7491539390347245 -1.1010363320340109
-0.7484769669476563 -1.1016193172443491
-0.7425717183903789 -1.107430511211008
-0.7398907361875979 -1.1100175742509477
-0.7366026379265345 -1.1132116856352814
-0.7400875986744362 -1.109632670296761
-0.7439015279662329 -1.1057246864143466
-0.7450877749520664 -1.1044444525517831
-0.7450397323575582 -1.104398440555673
-0.7368547967452016 -1.1124893892913001
-0.7437665905011612 -1.1054834732308338
-0.7429370111952338 -1.1062189979461436
-0.7400966482775081 -1.108965373987139
-0.740045963004228 -1.1089220046698014
-0.7418967262166595 -1.1069772545806398
-0.7454598030907059 -1.103319987688199
-0.743808045143536 -1.104877758758639
-0.7474599094763337 -1.1011318398352232
-0.7429274653244633 -1.1055701616825875
-0.7410429880371219 -1.1073606520931987
-0.744941170917648 -1.103368414622055
-0.7403221768603452 -1.1078932863748514
-0.7406358861576383 -1.1074855902008285
-0.7380884062688496 -1.1099388800712229
-0.7390289595510906 -1.1089043399122522
-0.7412282478766172 -1.1066109292822188
-0.739620558722167 -1.1081244961321628
-0.737871330104353 -1.1097796701593592
-0.7402666320932378 -1.1072902458659677
-0.7437728164485682 -1.1036899392061312
-0.7463121091640815 -1.101056659613888
-0.7479421723974324 -1.0993324063621426
-0.7430967057008016 -1.1040837507542673
-0.7409290906415242 -1.1061572435090388
-0.7406332782846621 -1.1063589335613946
-0.7425561422444966 -1.10434208272483
-0.7421104572215883 -1.1046936454432321
-0.7394170854268123 -1.1072928949335021
-0.7415140905634916 -1.1051016997784286
-0.7409838862335493 -1.1055377818038647
-0.7407419630573147 -1.1056855826755927
-0.7437104623619856 -1.1026229610664158
-0.7427936930150171 -1.1034456081088782
-0.7442306202330253 -1.1019144908724756
-0.7437905174081708 -1.1022604036789356
-0.7387070384716012 -1.107249760310999
-0.738720642896916 -1.1071420335811786
-0.7443323692353994 -1.1014361849381884
-0.7453985352936277 -1.1002758288615657
-0.7449691124630323 -1.1006111293876546
-0.7368563491252238 -1.1086297704209576
-0.7497297351116573 -1.0956621267022413
-0.7525004193221054 -1.0927973201872871
-0.7511255981977106 -1.0940778835793996
-0.7481607121902839 -1.09694864728232
-0.7404921199985114 -1.1045230494556981
-0.7446525641109891 -1.100268415324826
-0.7451153233509795 -1.0997114660664413
-0.7419020980603332 -1.1028305690525815
-0.7399772980624065 -1.1046611113182256
-0.7399737216777331 -1.1045704976845048
-0.7420658350198142 -1.1023842620379176
-0.7423273571101678 -1.1020284822152815
-0.7467520700531841 -1.0975095115399824
-0.7490324179192185 -1.095134973655554
-0.7438515591918191 -1.1002215746506707
-0.7461183939226279 -1.0978606176153558
-0.7422142594336929 -1.1016704943720088
-0.7443000759731992 -1.099490487814108
-0.7367786102912401 -1.1069176957637847
-0.7348208904391129 -1.1087812255975176
-0.7355033555773706 -1.1080045027269771
-0.7420013384932866 -1.1014122620787787
-0.7354816820819375 -1.1078377284717333
-0.7360818673731087 -1.10714328544828
-0.7388865089495684 -1.1042443184256494
-0.7372041159866844 -1.105832453656251
-0.7378651138457063 -1.1050772657788348
-0.7348542773031614 -1.107993844589097
-0.7353150320524475 -1.1074388998214169
-0.7363673310302458 -1.1062922753974476
-0.7371362909576936 -1.1054290577377177
-0.7380416923611436 -1.1044293986019849
-0.7391902535384948 -1.1031865119784632
-0.7380449511580529 -1.1042376243405108
-0.7373877694081751 -1.1048004806442184
-0.728187085876721 -1.1139069064433897
-0.7326479386228262 -1.1093517282511138
